2017 rank,City,State,2017 estimate,2010 Census,Change,2016 land area Sq Mi,2016 land area Sq Km,2016 population density/sq Mi,2016 population/sq Km,Location,Wikipedia Link,City Website
1,New York City,New York,"8,622,698","8,175,133",+5.47%,3015,78092,28317,109332,40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City),https://en.wikipedia.org/wiki/New_York_City,https://www.nyc.gov/
2,Los Angeles,California,"3,999,759","3,792,621",+5.46%,4687,121392,8484,32762,34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles),https://en.wikipedia.org/wiki/Los_Angeles,https://www.lacity.org/
3,Chicago,Illinois,"2,716,450","2,695,598",+0.77%,2273,58872,11900,46002,41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago),https://en.wikipedia.org/wiki/Chicago,http://www.cityofchicago.org
4,Houston,Texas,"2,312,717","2,100,263",+10.12%,6375,165112,3613,13952,29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston),https://en.wikipedia.org/wiki/Houston,http://www.houstontx.gov/
5,Phoenix,Arizona,"1,626,078","1,445,632",+12.48%,5176,134062,3120,12002,33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix),"https://en.wikipedia.org/wiki/Phoenix,_Arizona",http://www.phoenix.gov
6,Philadelphia,Pennsylvania,"1,580,863","1,526,006",+3.59%,1342,34762,11683,45112,40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia),https://en.wikipedia.org/wiki/Philadelphia,http://www.phila.gov/
7,San Antonio,Texas,"1,511,946","1,327,407",+13.90%,4610,119402,3238,12502,29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio),https://en.wikipedia.org/wiki/San_Antonio,http://www.sanantonio.gov/
8,San Diego,California,"1,419,516","1,307,402",+8.58%,3252,84232,4325,16702,32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego),https://en.wikipedia.org/wiki/San_Diego,http://www.sandiego.gov/
9,Dallas,Texas,"1,341,075","1,197,816",+11.96%,3409,88292,3866,14932,32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas),https://en.wikipedia.org/wiki/Dallas,http://www.dallascityhall.com/
10,San Jose,California,"1,035,317","945,942",+9.45%,1775,45972,5777,22312,37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose),"https://en.wikipedia.org/wiki/San_Jose,_California",http://www.sanjoseca.gov/
